,portfolio_value
2023-05-09,5456491.308237372
2023-05-10,5456841.99547897
2023-05-11,5289587.785074499
2023-05-12,5289587.785074499
2023-05-15,5289587.785074499
2023-05-16,5289486.170076752
2023-05-17,5330991.477848361
2023-05-18,5330709.008713048
2023-05-19,5191476.87243553
2023-05-22,5191382.71048299
2023-05-23,5225743.125353808
2023-05-24,5047497.091510193
2023-05-25,5047396.286546824
2023-05-26,5084419.83341943
2023-05-29,5083687.26460667
2023-05-30,5083204.876953423
2023-05-31,5086021.7545752805
2023-06-01,4900734.425549138
2023-06-02,4900734.425549138
2023-06-05,4900734.425549138
2023-06-06,4900734.425549138
2023-06-07,4900734.425549138
2023-06-08,4900658.29016098
2023-06-09,4922864.294116228
2023-06-12,4925419.505928589
2023-06-13,4917745.148883414
2023-06-14,4911133.329537516
2023-06-15,4758943.043255454
2023-06-16,4758943.043255454
2023-06-19,4758943.043255454
2023-06-20,4758943.043255454
2023-06-21,4758943.043255454
2023-06-22,4758943.043255454
2023-06-23,4758943.043255454
2023-06-26,4758943.043255454
2023-06-27,4758943.043255454
2023-06-28,4758943.043255454
2023-06-30,4758943.043255454
2023-07-03,4758943.043255454
2023-07-04,4758855.806075875
2023-07-05,4623042.998674698
2023-07-06,4623042.998674698
2023-07-07,4623042.998674698
2023-07-10,4623042.998674698
2023-07-11,4623042.998674698
2023-07-12,4623042.998674698
2023-07-13,4623042.998674698
2023-07-14,4622953.444146613
2023-07-17,4651553.026532641
2023-07-18,4651517.97151435
2023-07-19,4636483.165171709
2023-07-20,4606286.730398092
2023-07-21,4440160.760498066
2023-07-24,4440160.760498066
2023-07-25,4440160.760498066
2023-07-26,4440160.760498066
2023-07-27,4440160.760498066
2023-07-28,4440160.760498066
2023-07-31,4440160.760498066
2023-08-01,4440160.760498066
2023-08-02,4440160.760498066
2023-08-03,4440160.760498066
2023-08-04,4440043.773750134
2023-08-07,4465138.325217106
2023-08-08,4481286.165495206
2023-08-09,4483860.003027794
2023-08-10,4473914.863100119
2023-08-11,4318637.798212981
2023-08-14,4318637.798212981
2023-08-16,4318637.798212981
2023-08-17,4318535.520337834
2023-08-18,4342594.232216412
2023-08-21,4324433.228833121
2023-08-22,4358817.39380939
2023-08-23,4348228.2219273625
2023-08-24,4170014.839601817
2023-08-25,4170014.839601817
2023-08-28,4170014.839601817
2023-08-29,4169931.9212232376
2023-08-30,4021068.2858175538
2023-08-31,4021068.2858175538
2023-09-01,4021068.2858175538
2023-09-04,4021068.2858175538
2023-09-05,4021068.2858175538
2023-09-06,4021068.2858175538
2023-09-07,4021068.2858175538
2023-09-08,4021068.2858175538
2023-09-11,4021068.2858175538
2023-09-12,4021068.2858175538
2023-09-13,4021068.2858175538
